OBJECTID,ntd_id,shape_id,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_type_text,route_url,route_color,route_color_formatted,route_text_color,route_text_color_formatted,download_date,Shape__Length
34827,40022,124221,23610,MARTA,71,Cascade Road,,3,Bus,https://itsmarta.com/71.aspx,ff8080,"(255, 128, 128)",0,"(0, 0, 0)",12/02/2024,0.210480171080163
34828,40022,124222,23610,MARTA,71,Cascade Road,,3,Bus,https://itsmarta.com/71.aspx,ff8080,"(255, 128, 128)",0,"(0, 0, 0)",12/02/2024,0.147651071766027
34829,40022,124223,23610,MARTA,71,Cascade Road,,3,Bus,https://itsmarta.com/71.aspx,ff8080,"(255, 128, 128)",0,"(0, 0, 0)",12/02/2024,0.22420700575764
34830,40022,124224,23611,MARTA,73,Fulton Industrial,,3,Bus,https://itsmarta.com/73.aspx,008000,"(0, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.171728209292026
34831,40022,124225,23611,MARTA,73,Fulton Industrial,,3,Bus,https://itsmarta.com/73.aspx,008000,"(0, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.12174538885233
34832,40022,124226,23611,MARTA,73,Fulton Industrial,,3,Bus,https://itsmarta.com/73.aspx,008000,"(0, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.161011962745098
34833,40022,124227,23611,MARTA,73,Fulton Industrial,,3,Bus,https://itsmarta.com/73.aspx,008000,"(0, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.18889240460958
34834,40022,124228,23611,MARTA,73,Fulton Industrial,,3,Bus,https://itsmarta.com/73.aspx,008000,"(0, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.152682782944252
34835,40022,124229,23611,MARTA,73,Fulton Industrial,,3,Bus,https://itsmarta.com/73.aspx,008000,"(0, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.178370070494823
34836,40022,124230,23612,MARTA,74,Flat Shoals Road,,3,Bus,https://itsmarta.com/74.aspx,ff8000,"(255, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.131942247407623
34837,40022,124231,23612,MARTA,74,Flat Shoals Road,,3,Bus,https://itsmarta.com/74.aspx,ff8000,"(255, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.12785244657355
34838,40022,124232,23612,MARTA,74,Flat Shoals Road,,3,Bus,https://itsmarta.com/74.aspx,ff8000,"(255, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.136432512167158
34839,40022,124233,23612,MARTA,74,Flat Shoals Road,,3,Bus,https://itsmarta.com/74.aspx,ff8000,"(255, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.132342076287026
34840,40022,124236,23614,MARTA,78,Cleveland Avenue,,3,Bus,https://itsmarta.com/78.aspx,00ff00,"(0, 255, 0)",0,"(0, 0, 0)",12/02/2024,0.0840447878562978
34841,40022,124237,23614,MARTA,78,Cleveland Avenue,,3,Bus,https://itsmarta.com/78.aspx,00ff00,"(0, 255, 0)",0,"(0, 0, 0)",12/02/2024,0.0945684885029538
34842,40022,124238,23615,MARTA,79,Sylvan Hills,,3,Bus,https://itsmarta.com/79.aspx,ff8000,"(255, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.120576194375391
34843,40022,124239,23615,MARTA,79,Sylvan Hills,,3,Bus,https://itsmarta.com/79.aspx,ff8000,"(255, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.110437847739942
34844,40022,124240,23616,MARTA,81,Venetian Hills / Delowe Drive,,3,Bus,https://itsmarta.com/81.aspx,00ff00,"(0, 255, 0)",0,"(0, 0, 0)",12/02/2024,0.189594343629063
34845,40022,124241,23616,MARTA,81,Venetian Hills / Delowe Drive,,3,Bus,https://itsmarta.com/81.aspx,00ff00,"(0, 255, 0)",0,"(0, 0, 0)",12/02/2024,0.184872154473261
34846,40022,124242,23617,MARTA,82,Camp Creek / South Fulton Parkway,,3,Bus,https://itsmarta.com/82.aspx,008000,"(0, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.0855053578375936
34847,40022,124243,23617,MARTA,82,Camp Creek / South Fulton Parkway,,3,Bus,https://itsmarta.com/82.aspx,008000,"(0, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.250787889809284
